id,business_id,ewallet_payment_id,ewallet_connector_id,transaction_amount,fees_paid_amount,vat_paid_amount,vat_rate,billing_amount,billing_rate,billing_charge_type,external_id,transaction_date,currency,ewallet_type,transaction_type,holding_transaction_id,redeemed_transaction_id,direct_transfer_transaction_id,status,created_at,updated_at,payment_object,settlement_timestamp,holding_reversal_transaction_id,is_t_4_transaction,replicated_to_v_2,dt
4e931d93-7134-4846-895f-819d93de120d,5e7dc4e8b934e81bf655ace5,5663b519-55b9-44c2-b901-980121e798bc,20210624111212800110166822944995467,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210624080054023220121800000,2021-06-24 00:01:22.000,IDR,DANA,API,176a4032-60f1-4c01-993b-976c70edbff4,084b7663-913c-451d-8a38-707e1ee4aaff,8dd92753-274f-4716-8e97-3488724ef457,COMPLETED,2021-06-24 00:01:25.485,2021-06-27 19:15:58.119,"{""id"": ""5663b519-55b9-44c2-b901-980121e798bc"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:01:23.350Z"", ""req_msg_id"": ""d44b6ee4-0669-490b-bc06-6b82857caa32"", ""updated_at"": ""2021-06-24T00:01:23.350Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210624080054023220121800000"", ""created_time"": ""2021-06-24T00:00:55.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:01:22.000Z"", ""acquirement_id"": ""20210624111212800110166822944995467"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
771b281d-4610-4740-9db8-bd9095f3ce90,5e7dc4e8b934e81bf655ace5,40a58247-ad39-498b-ac1a-3f8eec140822,20210624111212800110166697444943483,75000.00,1237.00,112.00,0.100,1125.00,0.015,PERCENTAGE,20210624080114427220121800000,2021-06-24 00:01:21.000,IDR,DANA,API,564a4b45-6893-43dd-bac2-b3c475bf98e7,f55e2921-b449-4e51-89bf-03b5cd233f03,c35631eb-ce34-49ce-b656-3cb32f62504a,COMPLETED,2021-06-24 00:01:24.308,2021-06-27 19:15:57.843,"{""id"": ""40a58247-ad39-498b-ac1a-3f8eec140822"", ""amount"": ""75000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:01:22.180Z"", ""req_msg_id"": ""346abe9b-763b-4d06-88d9-1d3e8927cbb5"", ""updated_at"": ""2021-06-24T00:01:22.180Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210624080114427220121800000"", ""created_time"": ""2021-06-24T00:01:15.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:01:21.000Z"", ""acquirement_id"": ""20210624111212800110166697444943483"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
8e994756-0ad3-45dd-a551-da9c81a86a91,5fa20ecf2dae804078e37d3c,9af12101-2bf8-433e-b30d-1db76c62efa5,20210624111212800110166446344892758,5000.00,82.00,7.00,0.100,75.00,0.015,PERCENTAGE,NqlmvkGjp2VdZmEWO834PzbX5,2021-06-24 00:02:21.000,IDR,DANA,API,4d72b4b6-2f3a-4656-894a-3ce966af8e66,1295e294-1da9-49ee-9fa1-d428d3a17c72,21b8ddfa-9867-415f-af8e-381de8727bcc,COMPLETED,2021-06-24 00:02:24.122,2021-06-27 19:16:04.432,"{""id"": ""9af12101-2bf8-433e-b30d-1db76c62efa5"", ""amount"": ""5000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:02:22.101Z"", ""req_msg_id"": ""e22a72b9-8515-4e40-9c33-de4ec7b60934"", ""updated_at"": ""2021-06-24T00:02:22.101Z"", ""business_id"": ""5fa20ecf2dae804078e37d3c"", ""external_id"": ""NqlmvkGjp2VdZmEWO834PzbX5"", ""created_time"": ""2021-06-24T00:02:12.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:02:21.000Z"", ""acquirement_id"": ""20210624111212800110166446344892758"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
26a4cd95-6d96-48ab-bc26-bee85e6372d6,5fd7214551de6c78de48dda1,81e1d39a-ed09-4b7f-ad47-ae4e6376f4c4,20210624111212800110166911944872044,325000.00,4647.00,422.00,0.100,4225.00,0.013,PERCENTAGE,10012021062407030023900008,2021-06-24 00:03:55.000,IDR,DANA,API,76227bd8-4a26-4374-b373-747b18fe42c2,8a852dad-cdcd-4830-aa28-806476128ce2,68ff1e31-e3a2-4369-a2e6-1a1acf5e550f,COMPLETED,2021-06-24 00:03:58.555,2021-06-27 19:16:14.546,"{""id"": ""81e1d39a-ed09-4b7f-ad47-ae4e6376f4c4"", ""amount"": ""325000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:03:55.944Z"", ""req_msg_id"": ""9484cfb9-c14f-4a7b-83eb-654329d2caa7"", ""updated_at"": ""2021-06-24T00:03:55.944Z"", ""business_id"": ""5fd7214551de6c78de48dda1"", ""external_id"": ""10012021062407030023900008"", ""created_time"": ""2021-06-24T00:03:01.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:03:55.000Z"", ""acquirement_id"": ""20210624111212800110166911944872044"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
4e5aa3fc-2b46-4b0d-983f-2cc241e78381,5fd7214551de6c78de48dda1,34a29305-f576-40c3-9d8e-a39ae6de9eda,20210624111212800110166742444903324,325000.00,4647.00,422.00,0.100,4225.00,0.013,PERCENTAGE,10012021062407034868600012,2021-06-24 00:04:00.000,IDR,DANA,API,1e402c78-a00b-4a40-9e28-9eb4fac0b9e4,3d208e2a-04e7-4155-89ca-001b10c0e3e3,f7e29573-763f-4f56-93c9-291141186544,COMPLETED,2021-06-24 00:04:02.867,2021-06-27 19:16:15.064,"{""id"": ""34a29305-f576-40c3-9d8e-a39ae6de9eda"", ""amount"": ""325000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:04:00.757Z"", ""req_msg_id"": ""96e3499d-9500-4db4-a5bd-3ea3d8944f84"", ""updated_at"": ""2021-06-24T00:04:00.757Z"", ""business_id"": ""5fd7214551de6c78de48dda1"", ""external_id"": ""10012021062407034868600012"", ""created_time"": ""2021-06-24T00:03:49.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:04:00.000Z"", ""acquirement_id"": ""20210624111212800110166742444903324"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
700579fa-84f4-4ac1-8fa0-282665617108,5e7dc4e8b934e81bf655ace5,a68fb4fa-bb7c-4237-b93f-96b8aa8757d3,20210624111212800110166158544946061,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210624080306846220121800000,2021-06-24 00:03:39.000,IDR,DANA,API,a50d49e1-a6fe-4f33-afcc-549377c40542,901a581f-1b6c-41ad-9fe9-ceb986ad7845,86e6809d-08bc-46de-ad25-ddd44788cbab,COMPLETED,2021-06-24 00:03:42.277,2021-06-27 19:16:11.771,"{""id"": ""a68fb4fa-bb7c-4237-b93f-96b8aa8757d3"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:03:40.198Z"", ""req_msg_id"": ""b784f617-bc96-4ddc-a15a-92f67b034645"", ""updated_at"": ""2021-06-24T00:03:40.198Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210624080306846220121800000"", ""created_time"": ""2021-06-24T00:03:07.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:03:39.000Z"", ""acquirement_id"": ""20210624111212800110166158544946061"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
78d5dd8f-fa71-44e8-925b-7f2b2f5ee169,5fd7214551de6c78de48dda1,53abc74c-74c7-4b58-8c36-f280c324da47,20210624111212800110166482744846329,10000.00,143.00,13.00,0.100,130.00,0.013,PERCENTAGE,10012021062407031247900006,2021-06-24 00:03:37.000,IDR,DANA,API,be6aa82a-c94d-42a7-823e-13437f691798,4b0b3af3-9693-419d-bb54-19af89d89dfc,b7e1d8a4-d81f-4e7d-96e2-b126a4d0f59e,COMPLETED,2021-06-24 00:03:40.137,2021-06-27 19:16:11.092,"{""id"": ""53abc74c-74c7-4b58-8c36-f280c324da47"", ""amount"": ""10000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:03:37.833Z"", ""req_msg_id"": ""9920ec41-8323-4909-aa03-177aa59706c1"", ""updated_at"": ""2021-06-24T00:03:37.833Z"", ""business_id"": ""5fd7214551de6c78de48dda1"", ""external_id"": ""10012021062407031247900006"", ""created_time"": ""2021-06-24T00:03:13.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:03:37.000Z"", ""acquirement_id"": ""20210624111212800110166482744846329"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
79e134ba-115a-43bd-8bff-2a59bbeccd5a,5e7dc4e8b934e81bf655ace5,df6ae747-97af-437d-a531-212d393ec8a0,20210624111212800110166443744920462,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210624080109201220180750000,2021-06-24 00:03:28.000,IDR,DANA,API,85af9ade-2052-44f3-b9b2-6ee58e99e835,098bec2b-368e-48c0-83d8-91360f82b031,889247ee-373c-40d8-8332-e101839e3048,COMPLETED,2021-06-24 00:03:30.926,2021-06-27 19:16:10.877,"{""id"": ""df6ae747-97af-437d-a531-212d393ec8a0"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:03:28.826Z"", ""req_msg_id"": ""8f060db2-0440-441e-a587-294d9d127bbb"", ""updated_at"": ""2021-06-24T00:03:28.826Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210624080109201220180750000"", ""created_time"": ""2021-06-24T00:01:10.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:03:28.000Z"", ""acquirement_id"": ""20210624111212800110166443744920462"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
d7286e24-7357-4fe3-b2db-14d10ba5f140,5e7dc4e8b934e81bf655ace5,e4e803f3-3559-4b5a-986e-9827e7c7f723,20210624111212800110166616744891072,3000.00,49.00,4.00,0.100,45.00,0.015,PERCENTAGE,20210624080242789220180750000,2021-06-24 00:03:13.000,IDR,DANA,API,40436175-e4d8-460f-8a5d-d7e52cddcc01,9d464026-e088-412e-83bd-6132681716bc,e4950374-b28c-4d93-aabd-b10d37a99075,COMPLETED,2021-06-24 00:03:15.864,2021-06-27 19:16:10.200,"{""id"": ""e4e803f3-3559-4b5a-986e-9827e7c7f723"", ""amount"": ""3000.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:03:13.386Z"", ""req_msg_id"": ""78be2a2c-0141-466c-80e5-6171bc80f8b3"", ""updated_at"": ""2021-06-24T00:03:13.386Z"", ""business_id"": ""5e7dc4e8b934e81bf655ace5"", ""external_id"": ""20210624080242789220180750000"", ""created_time"": ""2021-06-24T00:02:43.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:03:13.000Z"", ""acquirement_id"": ""20210624111212800110166616744891072"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
1b15ef8d-00df-4ed8-82b5-63d1ea17659c,6012eba3e29d3d060306c50d,95bcf269-0926-421c-88bb-432472093853,20210624111212800110166437744864282,3100.00,50.00,4.00,0.100,46.00,0.015,PERCENTAGE,P162449282610047086,2021-06-24 00:00:39.000,IDR,DANA,API,859554e4-1cbc-420e-b06e-39aba130aec8,4cf52fa8-9e51-421a-a185-685f2e711e80,4d73eb71-1328-43d9-acea-8c27d316e6ab,COMPLETED,2021-06-24 00:00:41.755,2021-06-27 19:15:30.684,"{""id"": ""95bcf269-0926-421c-88bb-432472093853"", ""amount"": ""3100.00"", ""status"": ""SUCCESS"", ""currency"": ""IDR"", ""created_at"": ""2021-06-24T00:00:40.185Z"", ""req_msg_id"": ""8a27c62e-e6ec-4a45-b09c-1f86d3375d2d"", ""updated_at"": ""2021-06-24T00:00:40.185Z"", ""business_id"": ""6012eba3e29d3d060306c50d"", ""external_id"": ""P162449282610047086"", ""created_time"": ""2021-06-24T00:00:27.000Z"", ""ewallet_type"": ""DANA"", ""send_counter"": ""0"", ""finished_time"": ""2021-06-24T00:00:39.000Z"", ""acquirement_id"": ""20210624111212800110166437744864282"", ""replicated_to_v2"": false, ""transaction_type"": ""DIRECT"", ""is_sent_to_merchant"": true}",2021-06-27 17:00:00.000,,False,True,2021-06-24
